LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate
690,-,1120938048,2005.07.09,R30-M0-NB-C:J03-U11,2005-07-09-12.40.48.888712,R30-M0-NB-C:J03-U11,RAS,KERNEL,INFO,generating core.5235,E67,generating core.<*>
1930,-,1133474785,2005.12.01,R47-M1-N4-C:J17-U11,2005-12-01-14.06.25.612025,R47-M1-N4-C:J17-U11,RAS,KERNEL,INFO,"CE sym 27, at 0x00284720, mask 0x11",E18,"CE sym <*>, at <*>, mask <*>"
363,APPCHILD,1119319455,2005.06.20,R12-M1-NC-I:J18-U11,2005-06-20-19.04.15.002425,R12-M1-NC-I:J18-U11,RAS,APP,FATAL,ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,E23,ciod: Error creating node map from file <*>: No child processes
367,-,1119377709,2005.06.21,R24-M1-NB-C:J11-U01,2005-06-21-11.15.09.415157,R24-M1-NB-C:J11-U01,RAS,KERNEL,INFO,generating core.721,E67,generating core.<*>
1548,-,1131058249,2005.11.03,R66-M1-N8-C:J12-U01,2005-11-03-14.50.49.805068,R66-M1-N8-C:J12-U01,RAS,KERNEL,INFO,iar 00106228 dear 0244c1ec,E70,iar <*> dear <*>
1590,-,1131060739,2005.11.03,R67-M1-NA-C:J03-U11,2005-11-03-15.32.19.271963,R67-M1-NA-C:J03-U11,RAS,KERNEL,INFO,iar 00106580 dear 02494c2c,E70,iar <*> dear <*>
1778,APPTO,1132600084,2005.11.21,R14-M0-NC-I:J18-U11,2005-11-21-11.08.04.944948,R14-M0-NC-I:J18-U11,RAS,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41554, Connection timed out",E31,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out"
884,-,1121308707,2005.07.13,R35-M1-NE-C:J09-U11,2005-07-13-19.38.27.805883,R35-M1-NE-C:J09-U11,RAS,KERNEL,INFO,generating core.8374,E67,generating core.<*>
1385,-,1125730913,2005.09.03,R06-M1-N6-C:J15-U01,2005-09-03-00.01.53.125988,R06-M1-N6-C:J15-U01,RAS,KERNEL,INFO,1 torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected,E8,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected
1068,-,1121905368,2005.07.20,R02-M0-NF-C:J13-U01,2005-07-20-17.22.48.249852,R02-M0-NF-C:J13-U01,RAS,KERNEL,INFO,8 floating point alignment exceptions,E4,<*> floating point alignment exceptions
1700,-,1131473353,2005.11.08,R62-M0-N2-C:J13-U11,2005-11-08-10.09.13.667082,R62-M0-N2-C:J13-U11,RAS,KERNEL,INFO,iar 001061e8 dear 0247012c,E70,iar <*> dear <*>
194,-,1118765676,2005.06.14,R16-M1-N2-C:J07-U01,2005-06-14-09.14.36.498843,R16-M1-N2-C:J07-U01,RAS,KERNEL,FATAL,instruction address: 0x00004ed8,E76,instruction address: <*>
538,-,1120262332,2005.07.01,R36-M0-N4-C:J15-U01,2005-07-01-16.58.52.572817,R36-M0-N4-C:J15-U01,RAS,KERNEL,INFO,1146800 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
1927,-,1133455660,2005.12.01,R24-M0-N9-C:J10-U11,2005-12-01-08.47.40.003136,R24-M0-N9-C:J10-U11,RAS,KERNEL,INFO,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,E7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.
1200,-,1123021638,2005.08.02,UNKNOWN_LOCATION,2005-08-02-15.27.18.161989,UNKNOWN_LOCATION,,DISCOVERY,INFO,New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2,E88,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>
816,-,1121006882,2005.07.10,R32-M1-N3-C:J10-U11,2005-07-10-07.48.02.079501,R32-M1-N3-C:J10-U11,RAS,KERNEL,INFO,generating core.15313,E67,generating core.<*>
596,-,1120487796,2005.07.04,R02-M1-N8-C:J17-U01,2005-07-04-07.36.36.338885,R02-M1-N8-C:J17-U01,RAS,KERNEL,INFO,generating core.404,E67,generating core.<*>
1936,-,1133646587,2005.12.03,R55-M0-N9-C:J06-U11,2005-12-03-13.49.47.382429,R55-M0-N9-C:J06-U11,RAS,KERNEL,INFO,1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds,E14,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds
673,-,1120935076,2005.07.09,R02-M1-NE-C:J08-U11,2005-07-09-11.51.16.012286,R02-M1-NE-C:J08-U11,RAS,KERNEL,INFO,generating core.25382,E67,generating core.<*>
1377,KERNMNTF,1125552593,2005.08.31,R42-M1-NC-I:J18-U11,2005-08-31-22.29.53.058583,R42-M1-NC-I:J18-U11,RAS,KERNEL,FATAL,Lustre mount FAILED : bglio559 : point /p/gb1,E81,Lustre mount FAILED : bglio<*> : point <*>
1856,-,1133448658,2005.12.01,R27-M0-NE-C:J17-U11,2005-12-01-06.50.58.300024,R27-M0-NE-C:J17-U11,RAS,KERNEL,INFO,"10740 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
1114,-,1122165076,2005.07.23,R13-M0-N0-C:J15-U11,2005-07-23-17.31.16.270211,R13-M0-N0-C:J15-U11,RAS,KERNEL,INFO,15 floating point alignment exceptions,E4,<*> floating point alignment exceptions
789,-,1120969467,2005.07.09,R31-M0-NA-C:J03-U11,2005-07-09-21.24.27.695037,R31-M0-NA-C:J03-U11,RAS,KERNEL,INFO,generating core.6711,E67,generating core.<*>
1252,-,1123915807,2005.08.12,R74-M1-N8-I:J18-U01,2005-08-12-23.50.07.561913,R74-M1-N8-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",E25,"ciod: Error loading /<*>: invalid or missing program image, Exec format error"
1131,-,1122165890,2005.07.23,R15-M1-NA-C:J13-U11,2005-07-23-17.44.50.608907,R15-M1-NA-C:J13-U11,RAS,KERNEL,INFO,generating core.11357,E67,generating core.<*>
758,-,1120968107,2005.07.09,R23-M1-N7-C:J09-U01,2005-07-09-21.01.47.593602,R23-M1-N7-C:J09-U01,RAS,KERNEL,INFO,generating core.20970,E67,generating core.<*>
864,-,1121256538,2005.07.13,R31-M0-N1-C:J09-U01,2005-07-13-05.08.58.429347,R31-M0-N1-C:J09-U01,RAS,KERNEL,INFO,generating core.47314,E67,generating core.<*>
1557,-,1131059158,2005.11.03,R67-M0-N8-C:J02-U01,2005-11-03-15.05.58.736742,R67-M0-N8-C:J02-U01,RAS,KERNEL,INFO,640404 floating point alignment exceptions,E4,<*> floating point alignment exceptions
310,-,1118773883,2005.06.14,R24-M1-N6-C:J17-U01,2005-06-14-11.31.23.322583,R24-M1-N6-C:J17-U01,RAS,KERNEL,FATAL,core configuration register: 0x00002000,E43,core configuration register: <*>
1622,-,1131125543,2005.11.04,R62-M0-N4-C:J12-U11,2005-11-04-09.32.23.060745,R62-M0-N4-C:J12-U11,RAS,KERNEL,INFO,iar 00106834 dear 0245ccfc,E70,iar <*> dear <*>
1285,-,1125082154,2005.08.26,R62-M1-NA-C:J14-U01,2005-08-26-11.49.14.423511,R62-M1-NA-C:J14-U01,RAS,KERNEL,INFO,iar 003a90fc dear 00b35db8,E70,iar <*> dear <*>
1645,-,1131127319,2005.11.04,R62-M0-N6-C:J05-U11,2005-11-04-10.01.59.090723,R62-M0-N6-C:J05-U11,RAS,KERNEL,INFO,iar 0010671c dear 0245b72c,E70,iar <*> dear <*>
1070,-,1122126854,2005.07.23,R27-M0-N5-C:J11-U11,2005-07-23-06.54.14.284728,R27-M0-N5-C:J11-U11,RAS,KERNEL,INFO,total of 1 ddr error(s) detected and corrected,E118,total of <*> ddr error(s) detected and corrected
1893,-,1133455066,2005.12.01,R77-M1-N7-C:J08-U11,2005-12-01-08.37.46.082541,R77-M1-N7-C:J08-U11,RAS,KERNEL,INFO,"10740 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",E12,"<*> total interrupts. 0 critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt."
385,-,1119638161,2005.06.24,R16-M1-N2-C:J17-U01,2005-06-24-11.36.01.774405,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 0, at 0x1b8584e0, mask 0x80",E18,"CE sym <*>, at <*>, mask <*>"
494,-,1120150857,2005.06.30,R05-M0-N7-C:J04-U01,2005-06-30-10.00.57.531545,R05-M0-N7-C:J04-U01,RAS,KERNEL,INFO,generating core.1123,E67,generating core.<*>
505,-,1120216232,2005.07.01,R26-M0-N5-C:J07-U11,2005-07-01-04.10.32.786113,R26-M0-N5-C:J07-U11,RAS,KERNEL,INFO,generating core.30586,E67,generating core.<*>
1291,-,1125083240,2005.08.26,R61-M0-N8-C:J05-U01,2005-08-26-12.07.20.308532,R61-M0-N8-C:J05-U01,RAS,KERNEL,INFO,1547520 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
1021,-,1121707096,2005.07.18,R21-M1-N2-C:J07-U01,2005-07-18-10.18.16.381095,R21-M1-N2-C:J07-U01,RAS,KERNEL,INFO,generating core.23150,E67,generating core.<*>
283,-,1118772022,2005.06.14,R26-M0-N6-C:J14-U11,2005-06-14-11.00.22.056566,R26-M0-N6-C:J14-U11,RAS,KERNEL,FATAL,icache prefetch depth....................0,E71,icache prefetch depth....................<*>
1324,-,1125084580,2005.08.26,R67-M1-N1-C:J05-U11,2005-08-26-12.29.40.731213,R67-M1-N1-C:J05-U11,RAS,KERNEL,INFO,iar 003a92a0 dear 0129a488,E70,iar <*> dear <*>
1687,-,1131148486,2005.11.04,R63-M0-N2-C:J03-U11,2005-11-04-15.54.46.919787,R63-M0-N2-C:J03-U11,RAS,KERNEL,INFO,iar 00106348 dear 024696bc,E70,iar <*> dear <*>
1521,KERNREC,1130529611,2005.10.28,R63-M1-N5-C:J17-U01,2005-10-28-13.00.11.719498,R63-M1-N5-C:J17-U01,RAS,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>"
57,-,1118070512,2005.06.06,R01-M1-NB-C:J03-U11,2005-06-06-08.08.32.984716,R01-M1-NB-C:J03-U11,RAS,KERNEL,INFO,"CE sym 20, at 0x01228120, mask 0x10",E18,"CE sym <*>, at <*>, mask <*>"
52,-,1117990980,2005.06.05,R34-M0-ND-C:J03-U01,2005-06-05-10.03.00.195528,R34-M0-ND-C:J03-U01,RAS,KERNEL,INFO,generating core.851,E67,generating core.<*>
1407,-,1126969026,2005.09.17,UNKNOWN_LOCATION,2005-09-17-07.57.06.422022,UNKNOWN_LOCATION,,DISCOVERY,INFO,Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005,E73,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>
156,KERNDTLB,1118554603,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-22.36.43.913043,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,E55,data TLB error interrupt
420,-,1119725305,2005.06.25,R27-M1-N9-C:J17-U11,2005-06-25-11.48.25.313227,R27-M1-N9-C:J17-U11,RAS,KERNEL,INFO,generating core.47736,E67,generating core.<*>
1674,-,1131142353,2005.11.04,R62-M0-NC-C:J16-U01,2005-11-04-14.12.33.760945,R62-M0-NC-C:J16-U01,RAS,KERNEL,INFO,iar 001066ac dear 0252523c,E70,iar <*> dear <*>
583,-,1120469660,2005.07.04,R21-M0-ND-C:J02-U01,2005-07-04-02.34.20.029089,R21-M0-ND-C:J02-U01,RAS,KERNEL,INFO,generating core.9739,E67,generating core.<*>
1644,-,1131127313,2005.11.04,R62-M0-ND-C:J12-U11,2005-11-04-10.01.53.184425,R62-M0-ND-C:J12-U11,RAS,KERNEL,INFO,iar 001064fc dear 0245b64c,E70,iar <*> dear <*>
271,-,1118771516,2005.06.14,R25-M0-N6-C:J14-U11,2005-06-14-10.51.56.234430,R25-M0-N6-C:J14-U11,RAS,KERNEL,FATAL,program interrupt: imprecise exception......0,E102,program interrupt: imprecise exception......<*>
8,-,1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>"
1515,-,1129897177,2005.10.21,R07-M1-N0-C:J17-U01,2005-10-21-05.19.37.093437,R07-M1-N0-C:J17-U01,RAS,KERNEL,INFO,total of 1 ddr error(s) detected and corrected,E118,total of <*> ddr error(s) detected and corrected
333,-,1118853076,2005.06.15,R34-M1-N9-C:J07-U11,2005-06-15-09.31.16.623218,R34-M1-N9-C:J07-U11,RAS,KERNEL,INFO,generating core.16218,E67,generating core.<*>
1398,-,1126421175,2005.09.10,R16-M0-NC-I:J18-U01,2005-09-10-23.46.15.250215,R16-M0-NC-I:J18-U01,RAS,APP,FATAL,"ciod: Error loading /bgl/apps/swl-prep/rky-swl/MPI-PERF/IMB/perf_tests/IMB-MPI1.5124KB: invalid or missing program image, No such file or directory",E28,"ciod: Error loading <*>: invalid or missing program image, No such file or directory"
691,-,1120938093,2005.07.09,R27-M0-N7-C:J10-U01,2005-07-09-12.41.33.279413,R27-M0-N7-C:J10-U01,RAS,KERNEL,INFO,generating core.50841,E67,generating core.<*>
287,-,1118772122,2005.06.14,R27-M0-N1-C:J08-U11,2005-06-14-11.02.02.749469,R27-M0-N1-C:J08-U11,RAS,KERNEL,FATAL,icache prefetch threshold................0,E72,icache prefetch threshold................<*>
976,-,1121495976,2005.07.15,R12-M1-N7-C:J08-U11,2005-07-15-23.39.36.355775,R12-M1-N7-C:J08-U11,RAS,KERNEL,INFO,generating core.33706,E67,generating core.<*>
701,-,1120938631,2005.07.09,R11-M1-NB-C:J12-U11,2005-07-09-12.50.31.927917,R11-M1-NB-C:J12-U11,RAS,KERNEL,INFO,generating core.12329,E67,generating core.<*>
1591,-,1131060806,2005.11.03,R67-M0-N0-C:J03-U01,2005-11-03-15.33.26.605133,R67-M0-N0-C:J03-U01,RAS,KERNEL,INFO,iar 00106580 dear 02494c2c,E70,iar <*> dear <*>
1463,-,1127668543,2005.09.25,R66-M1-N1-C:J09-U11,2005-09-25-10.15.43.266674,R66-M1-N1-C:J09-U11,RAS,KERNEL,INFO,"CE sym 15, at 0x0bde77e0, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>"
608,-,1120772805,2005.07.07,R05-M0-N8-C:J06-U11,2005-07-07-14.46.45.171689,R05-M0-N8-C:J06-U11,RAS,KERNEL,INFO,generating core.1998,E67,generating core.<*>
380,-,1119569236,2005.06.23,R22-M0-N6-C:J12-U11,2005-06-23-16.27.16.266001,R22-M0-N6-C:J12-U11,RAS,KERNEL,INFO,6182400 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
1401,APPSEV,1126539103,2005.09.12,R41-M1-N4-I:J18-U11,2005-09-12-08.31.43.214677,R41-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:41304: Link has been severed,E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed
1798,-,1133150722,2005.11.27,R15-M0-N0-I:J18-U11,2005-11-27-20.05.22.588765,R15-M0-N0-I:J18-U11,RAS,KERNEL,INFO,"ciod: Received signal 15, code=0, errno=0, address=0x000001f5",E41,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
1696,-,1131408782,2005.11.07,R63-M0-N6-C:J15-U01,2005-11-07-16.13.02.108416,R63-M0-N6-C:J15-U01,RAS,KERNEL,INFO,iar 00105e88 dear 02f6436c,E70,iar <*> dear <*>
1633,-,1131126699,2005.11.04,R62-M0-N1-C:J02-U11,2005-11-04-09.51.39.563817,R62-M0-N1-C:J02-U11,RAS,KERNEL,INFO,iar 00106bd8 dear 0245cf0c,E70,iar <*> dear <*>
544,-,1120265452,2005.07.01,R33-M1-NE-C:J11-U01,2005-07-01-17.50.52.851643,R33-M1-NE-C:J11-U01,RAS,KERNEL,INFO,458720 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
621,-,1120889703,2005.07.08,R05-M0-N2,2005-07-08-23.15.03.798449,R05-M0-N2,,DISCOVERY,WARNING,Node card is not fully functional,E90,Node card is not fully functional
644,-,1120931429,2005.07.09,R24-M1-N1-C:J15-U11,2005-07-09-10.50.29.748945,R24-M1-N1-C:J15-U11,RAS,KERNEL,INFO,generating core.7672,E67,generating core.<*>
1172,-,1122430512,2005.07.26,R23-M1-N7-C:J10-U01,2005-07-26-19.15.12.085226,R23-M1-N7-C:J10-U01,RAS,KERNEL,INFO,generating core.42905,E67,generating core.<*>
190,KERNSTOR,1118765370,2005.06.14,R01-M1-N6-C:J15-U11,2005-06-14-09.09.30.138103,R01-M1-N6-C:J15-U11,RAS,KERNEL,FATAL,data storage interrupt,E52,data storage interrupt
48,-,1117989601,2005.06.05,R32-M0-N2-C:J15-U01,2005-06-05-09.40.01.191177,R32-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.1524,E67,generating core.<*>
1323,-,1125084553,2005.08.26,R60-M0-NF-C:J10-U11,2005-08-26-12.29.13.250807,R60-M0-NF-C:J10-U11,RAS,KERNEL,INFO,iar 003a9260 dear 00f2a468,E70,iar <*> dear <*>
1146,-,1122168559,2005.07.23,R13-M0-N2-C:J02-U01,2005-07-23-18.29.19.795230,R13-M0-N2-C:J02-U01,RAS,KERNEL,INFO,1005 floating point alignment exceptions,E4,<*> floating point alignment exceptions
1169,-,1122405838,2005.07.26,R06-M0-N8-C:J11-U01,2005-07-26-12.23.58.178894,R06-M0-N8-C:J11-U01,RAS,KERNEL,INFO,generating core.469,E67,generating core.<*>
191,KERNSTOR,1118765511,2005.06.14,R06-M0-N7-C:J08-U01,2005-06-14-09.11.51.127157,R06-M0-N7-C:J08-U01,RAS,KERNEL,FATAL,data storage interrupt,E52,data storage interrupt
205,-,1118767015,2005.06.14,R24-M1-N3-C:J16-U01,2005-06-14-09.36.55.370589,R24-M1-N3-C:J16-U01,RAS,KERNEL,FATAL,data address: 0x00000002,E50,data address: <*>
455,-,1119807491,2005.06.26,R02-M0-N9-C:J06-U01,2005-06-26-10.38.11.390037,R02-M0-N9-C:J06-U01,RAS,KERNEL,INFO,data store interrupt caused by dcbf.........0,E53,data store interrupt caused by dcbf.........<*>
1752,-,1132067079,2005.11.15,R17-M1-N0-I:J18-U01,2005-11-15-07.04.39.066903,R17-M1-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: generated 128 core files for program /bgl/apps/followup/SPaSM_static/SPaSM_mpi.rel2,E34,ciod: generated <*> core files for program <*>
1668,-,1131140000,2005.11.04,R63-M0-ND-C:J15-U01,2005-11-04-13.33.20.655126,R63-M0-ND-C:J15-U01,RAS,KERNEL,INFO,iar 001066c4 dear 0252528c,E70,iar <*> dear <*>
1973,APPOUT,1134357549,2005.12.11,R63-M1-N0-I:J18-U11,2005-12-11-19.19.09.737509,R63-M1-N0-I:J18-U11,RAS,APP,FATAL,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,E36,ciod: LOGIN chdir(<*>) failed: Input/output error
